;time_start;time_reading;co2;tvoc;pm1_0;pm2_5;pm10;temperature;humidity
188;1692966303,921917;0,041771;635;0,01;5;6;6;24,8;57,0
189;1692966304,022177;0,036979;635;0,01;5;6;6;24,8;57,0
190;1692966304,122499;0,048275;635;0,01;5;6;6;24,8;57,0
191;1692966304,222756;0,043564;635;0,01;5;6;6;24,8;57,0
192;1692966304,323058;0,038975;635;0,01;5;6;6;24,8;57,0
193;1692966304,423322;0,050335;635;0,01;5;6;6;24,8;57,0
194;1692966304,523626;0,045519;635;0,01;5;6;6;24,8;57,0
195;1692966304,623882;0,040949;635;0,01;5;6;6;24,8;57,0
196;1692966304,72415;0,036279;635;0,01;6;6;6;24,8;57,0
197;1692966304,824424;0,047566;635;0,01;6;6;6;24,8;57,0
198;1692966304,92477;0,042762;635;0,01;6;6;6;24,8;57,0
199;1692966305,025061;0,038234;635;0,01;6;6;6;24,8;57,0
200;1692966305,125526;0,049351;635;0,01;6;6;6;24,8;57,0
201;1692966305,226235;0,04408;635;0,01;6;6;6;24,8;57,0
